,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (AMD),Supply,Updated
0,<a href=https://cryptocompare.com/coins/btc/overview>BTC</a>,<a href=https://cryptocompare.com/coins/btc/overview>Bitcoin</a>,"8,904,211.24",<p class=green>+0.0</p>,<p class=green>+0.0</p>,"2,812,837,780,067.0","170,028,299,956,412.0","19,095,268.0",2022-07-10 10:08:40
1,<a href=https://cryptocompare.com/coins/eth/overview>ETH</a>,<a href=https://cryptocompare.com/coins/eth/overview>Ethereum</a>,"530,512.91",<p class=green>+0.56</p>,<p class=green>+1.34</p>,"2,026,610,035,444.0","64,495,081,009,144.0","121,571,181.0",2022-07-16 14:40:29
2,<a href=https://cryptocompare.com/coins/usdt/overview>USDT</a>,<a href=https://cryptocompare.com/coins/usdt/overview>Tether</a>,428.74,<p class=green>+0.35</p>,<p class=green>+0.58</p>,0.0,"28,243,981,098,561.0","65,876,317,670.0",2022-07-16 14:40:35
3,<a href=https://cryptocompare.com/coins/usdc/overview>USDC</a>,<a href=https://cryptocompare.com/coins/usdc/overview>USD Coin</a>,422.59,<p class=green>+0.0</p>,<p class=red>-0.1</p>,"81,033,327,338.0","23,164,763,505,899.0","54,815,664,399.0",2022-07-16 00:43:53
4,<a href=https://cryptocompare.com/coins/bnb/overview>BNB</a>,<a href=https://cryptocompare.com/coins/bnb/overview>Binance Coin</a>,"101,864.18",<p class=green>+0.0</p>,<p class=green>+0.17</p>,"127,080,292,465.0","16,632,074,576,072.0","163,276,974.0",2022-07-16 14:40:28
5,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,147.19,<p class=green>+0.3</p>,<p class=green>+3.38</p>,"190,867,358,713.0","14,717,120,892,728.0","99,989,535,142.0",2022-07-16 14:40:31
6,<a href=https://cryptocompare.com/coins/sol/overview>SOL</a>,<a href=https://cryptocompare.com/coins/sol/overview>Solana</a>,"15,991.96",<p class=green>+0.06</p>,<p class=red>-1.26</p>,"166,218,921,952.0","8,396,792,718,735.0","525,063,278.0",2022-07-16 14:40:24
7,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,428.88,<p class=green>+0.36</p>,<p class=green>+0.57</p>,0.0,"7,679,559,435,835.0","17,906,248,181.0",2022-07-16 14:40:35
8,<a href=https://cryptocompare.com/coins/ada/overview>ADA</a>,<a href=https://cryptocompare.com/coins/ada/overview>Cardano</a>,188.41,<p class=green>+0.05</p>,<p class=green>+0.62</p>,"90,455,113,198.0","6,310,654,103,494.0","33,493,710,224.0",2022-07-16 14:40:27
9,<a href=https://cryptocompare.com/coins/ftt/overview>FTT</a>,<a href=https://cryptocompare.com/coins/ftt/overview>FTX Token</a>,"11,575.48",<p class=green>+0.31</p>,<p class=green>+2.69</p>,"12,781,118,737.0","3,645,100,550,393.0","314,898,582.0",2022-07-16 14:39:42
10,<a href=https://cryptocompare.com/coins/doge/overview>DOGE</a>,<a href=https://cryptocompare.com/coins/doge/overview>Dogecoin</a>,26.8,<p class=green>+0.0</p>,<p class=red>-0.66</p>,"33,630,996,821.0","3,625,308,751,306.0","135,264,256,383.0",2022-07-16 14:40:26
11,<a href=https://cryptocompare.com/coins/dot/overview>DOT</a>,<a href=https://cryptocompare.com/coins/dot/overview>Polkadot</a>,"2,864.49",<p class=red>-0.25</p>,<p class=red>-2.54</p>,"48,978,247,786.0","3,474,169,987,250.0","1,212,842,896.0",2022-07-16 14:39:39
12,<a href=https://cryptocompare.com/coins/avax/overview>AVAX</a>,<a href=https://cryptocompare.com/coins/avax/overview>Avalanche</a>,"8,368.18",<p class=green>+0.03</p>,<p class=green>+0.57</p>,"72,466,746,062.0","3,412,880,379,472.0","407,840,331.0",2022-07-16 14:40:34
13,<a href=https://cryptocompare.com/coins/uni/overview>UNI</a>,<a href=https://cryptocompare.com/coins/uni/overview>Uniswap Protocol Token</a>,"3,012.3",<p class=red>-0.35</p>,<p class=green>+2.21</p>,"36,814,537,091.0","3,012,294,662,492.0","1,000,000,000.0",2022-07-16 14:40:07
14,<a href=https://cryptocompare.com/coins/matic/overview>MATIC</a>,<a href=https://cryptocompare.com/coins/matic/overview>Polygon</a>,301.14,<p class=red>-0.38</p>,<p class=green>+1.9</p>,"133,563,045,078.0","3,011,404,241,368.0","10,000,000,000.0",2022-07-16 14:40:25
15,<a href=https://cryptocompare.com/coins/trx/overview>TRX</a>,<a href=https://cryptocompare.com/coins/trx/overview>TRON</a>,28.76,<p class=green>+0.31</p>,<p class=green>+0.62</p>,"73,105,907,996.0","2,930,717,143,286.0","101,900,409,184.0",2022-07-16 14:40:28
16,<a href=https://cryptocompare.com/coins/dai/overview>DAI</a>,<a href=https://cryptocompare.com/coins/dai/overview>Dai</a>,428.83,<p class=green>+0.04</p>,<p class=green>+0.63</p>,"1,645,012,421.0","2,807,445,901,440.0","6,546,805,876.0",2022-07-16 14:38:45
17,<a href=https://cryptocompare.com/coins/shib/overview>SHIB</a>,<a href=https://cryptocompare.com/coins/shib/overview>Shiba Inu</a>,0.0,<p class=green>+0.0</p>,<p class=green>+0.0</p>,"40,795,935,285.0","2,625,286,179,011.0","589,672,933,009,038.0",2022-07-16 14:17:42
18,<a href=https://cryptocompare.com/coins/link/overview>LINK</a>,<a href=https://cryptocompare.com/coins/link/overview>Chainlink</a>,"2,673.04",<p class=green>+0.03</p>,<p class=green>+0.03</p>,"56,669,329,859.0","2,673,044,214,248.0","1,000,000,000.0",2022-07-16 14:40:34
19,<a href=https://cryptocompare.com/coins/xlm/overview>XLM</a>,<a href=https://cryptocompare.com/coins/xlm/overview>Stellar</a>,46.03,<p class=green>+0.0</p>,<p class=green>+0.78</p>,"15,840,298,984.0","2,301,820,899,642.0","50,001,787,650.0",2022-07-16 14:40:35
20,<a href=https://cryptocompare.com/coins/gmt/overview>GMT</a>,<a href=https://cryptocompare.com/coins/gmt/overview>STEPN</a>,386.89,<p class=red>-0.21</p>,<p class=red>-4.15</p>,"8,857,005,926.0","2,218,587,304,665.0","5,734,443,633.0",2022-07-16 14:40:01
22,<a href=https://cryptocompare.com/coins/leo/overview>LEO</a>,<a href=https://cryptocompare.com/coins/leo/overview>LEO Token</a>,"2,271.46",<p class=red>-0.04</p>,<p class=green>+1.59</p>,"220,870,995.0","2,123,511,227,336.0","934,864,456.0",2022-07-16 14:40:02
23,<a href=https://cryptocompare.com/coins/wbtc/overview>WBTC</a>,<a href=https://cryptocompare.com/coins/wbtc/overview>Wrapped Bitcoin</a>,"8,903,320.82",<p class=green>+0.02</p>,<p class=green>+0.03</p>,"17,533,630,408.0","2,121,059,291,274.0","238,232.0",2022-07-16 14:39:55
24,<a href=https://cryptocompare.com/coins/ape/overview>APE</a>,<a href=https://cryptocompare.com/coins/ape/overview>ApeCoin</a>,"1,947.35",<p class=green>+0.0</p>,<p class=red>-1.57</p>,"23,404,711,558.0","1,947,350,998,188.0","1,000,000,000.0",2022-07-16 14:40:30
26,<a href=https://cryptocompare.com/coins/qnt/overview>QNT</a>,<a href=https://cryptocompare.com/coins/qnt/overview>Quant</a>,"45,233.39",<p class=green>+2.3</p>,<p class=green>+1.64</p>,"12,797,029,487.0","1,624,839,300,347.0","35,921,234.0",2022-07-16 14:40:31
27,<a href=https://cryptocompare.com/coins/axs/overview>AXS</a>,<a href=https://cryptocompare.com/coins/axs/overview>Axie Infinity Shards</a>,"5,932.88",<p class=red>-0.27</p>,<p class=red>-0.4</p>,"14,327,053,030.0","1,601,876,506,287.0","270,000,000.0",2022-07-16 14:40:09
28,<a href=https://cryptocompare.com/coins/ltc/overview>LTC</a>,<a href=https://cryptocompare.com/coins/ltc/overview>Litecoin</a>,"22,411.9",<p class=green>+0.44</p>,<p class=green>+1.37</p>,"33,625,445,733.0","1,585,236,432,287.0","70,731,908.0",2022-07-16 14:40:27
29,<a href=https://cryptocompare.com/coins/sand/overview>SAND</a>,<a href=https://cryptocompare.com/coins/sand/overview>The Sandbox</a>,522.68,<p class=red>-0.81</p>,<p class=green>+1.89</p>,"53,824,150,577.0","1,568,031,599,363.0","3,000,000,000.0",2022-07-16 14:39:36
30,<a href=https://cryptocompare.com/coins/cro/overview>CRO</a>,<a href=https://cryptocompare.com/coins/cro/overview>Cronos</a>,50.93,<p class=green>+0.17</p>,<p class=red>-0.35</p>,"2,978,425,160.0","1,541,358,485,367.0","30,263,013,692.0",2022-07-16 14:40:07
31,<a href=https://cryptocompare.com/coins/icp/overview>ICP</a>,<a href=https://cryptocompare.com/coins/icp/overview>Internet Computer</a>,"3,079.97",<p class=red>-0.03</p>,<p class=green>+4.47</p>,"10,510,518,190.0","1,492,961,291,346.0","484,732,937.0",2022-07-16 14:40:12
32,<a href=https://cryptocompare.com/coins/okb/overview>OKB</a>,<a href=https://cryptocompare.com/coins/okb/overview>OKX</a>,"5,395.06",<p class=green>+0.18</p>,<p class=red>-0.34</p>,"1,486,653,838.0","1,383,229,544,018.0","256,388,091.0",2022-07-16 14:38:10
33,<a href=https://cryptocompare.com/coins/atom/overview>ATOM</a>,<a href=https://cryptocompare.com/coins/atom/overview>Cosmos</a>,"3,830.59",<p class=red>-0.16</p>,<p class=red>-3.09</p>,"48,900,754,277.0","1,156,389,961,193.0","301,882,857.0",2022-07-16 14:40:23
34,<a href=https://cryptocompare.com/coins/near/overview>NEAR</a>,<a href=https://cryptocompare.com/coins/near/overview>Near</a>,"1,473.65",<p class=green>+0.12</p>,<p class=red>-2.99</p>,"22,557,063,697.0","1,088,871,259,778.0","738,895,603.0",2022-07-16 14:40:22
35,<a href=https://cryptocompare.com/coins/xmr/overview>XMR</a>,<a href=https://cryptocompare.com/coins/xmr/overview>Monero</a>,"59,569.17",<p class=red>-0.06</p>,<p class=green>+3.85</p>,"30,816,869,348.0","1,081,082,071,897.0","18,148,347.0",2022-07-16 14:40:33
36,<a href=https://cryptocompare.com/coins/klay/overview>KLAY</a>,<a href=https://cryptocompare.com/coins/klay/overview>Klaytn</a>,98.39,<p class=green>+0.27</p>,<p class=green>+1.94</p>,"13,556,150,537.0","1,074,674,084,475.0","10,922,424,304.0",2022-07-16 14:39:42
