,Symbol,Price,24h Δ,24h %Δ
0,BTC,45896.04,-714.3700000000026,-1.5326404552116202
1,ETH,3448.48,-26.98999999999978,-0.7765856128811293
2,LUNA,114.63,6.890000000000001,6.3950250603304255
3,XRP,0.8252,-0.012399999999999967,-1.4804202483285538
4,USDT,1.0,0.0,0.0
5,BNB,436.04,-13.539999999999964,-3.0116998087103437
6,SOL,134.38,-0.4000000000000057,-0.2967799376762173
7,AVAX,96.59,-0.6799999999999926,-0.6990850210753496
8,ADA,1.159,-0.020000000000000018,-1.6963528413910107
9,DOT,22.71,0.4200000000000017,1.884253028263803
10,DOGE,0.1386,-0.004200000000000009,-2.9411764705882417
11,BUSD,1.0,0.0,0.0
12,AXS,65.78,-6.679999999999993,-9.21887938172784
13,LINK,17.37,0.07000000000000028,0.40462427745664903
14,MATIC,1.656,-0.06000000000000005,-3.4965034965034993
15,UST,1.0,0.0,0.0
16,FTT,49.75,-0.8400000000000034,-1.660407195097852
17,SHIB,2.591e-05,-6.400000000000006e-07,-2.410546139359701
18,CRO,0.4795,-0.0029000000000000137,-0.601160862354895
19,BIT,,,
20,WBTC,45933.7536,-672.2991000000038,-1.4425145684993912
21,KLAY,1.1639235744,-0.019048631400000016,-1.6102349071775643
22,APE,12.51,-0.4900000000000002,-3.7692307692307705
23,UNI,11.76,0.11999999999999922,1.0309278350515396
24,XLM,0.2323,-0.0033999999999999864,-1.4425116673737743
25,SAND,3.449,-0.17200000000000015,-4.750069041701192
26,STETH,,,
27,ICP,20.95,-0.8599999999999994,-3.9431453461714785
28,NEAR,15.12,0.41999999999999993,2.8571428571428568
29,GALA,0.2554,-0.011799999999999977,-4.416167664670651
30,ATOM,31.35,1.4400000000000013,4.814443329989975
31,DAI,1.001,0.0010999999999998789,0.11001100110009789
32,LTC,124.81,-1.519999999999996,-1.2031979735613045
33,TRX,0.07243,-0.0037500000000000033,-4.9225518508795005
34,BCH,373.48,-4.079999999999984,-1.080622947346113
35,DYDX,6.816,0.21899999999999942,3.3196907685311414
36,VET,0.07699,-0.004900000000000002,-5.983636585663697
37,ALGO,0.9092,-0.05159999999999998,-5.3705245628642775
38,ETC,46.62,-0.7899999999999991,-1.666315123391688
39,MANA,2.646,-0.06000000000000005,-2.2172949002217313
40,LEO,6.1727792,0.12546139999999983,2.0746619269785995
41,RUNE,11.31,-0.9199999999999999,-7.522485690923957
42,WAVES,50.71,-1.240000000000002,-2.3869104908565966
43,OKB,20.524709088,-0.822858691999997,-3.854578191202244
44,GRT,0.5075,-0.0030000000000000027,-0.5876591576885413
45,USDC,1.0,0.0,0.0
46,QNT,139.39,-4.030000000000001,-2.8099288802119657
47,CRV,2.89,0.04600000000000026,1.617440225035171
48,HBAR,0.2443,-0.003799999999999998,-1.5316404675534052
49,IMX,2.445,-0.09800000000000031,-3.853716083366115
