,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
0,<a href=https://cryptocompare.com/coins/btc/overview>BTC</a>,<a href=https://cryptocompare.com/coins/btc/overview>Bitcoin</a>,"46,297.0",<p class=red>-0.19</p>,<p class=green>+1.69</p>,"10,587,827,391.0","879,652,259,400.0","19,000,200.0",2022-04-01 23:08:45
1,<a href=https://cryptocompare.com/coins/eth/overview>ETH</a>,<a href=https://cryptocompare.com/coins/eth/overview>Ethereum</a>,"3,442.5",<p class=red>-0.26</p>,<p class=green>+4.87</p>,"7,079,170,180.0","413,808,176,035.0","120,205,715.0",2022-04-01 23:08:45
2,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,0.83,<p class=red>-0.2</p>,<p class=green>+1.5</p>,"867,796,945.0","82,701,409,724.0","99,989,613,982.0",2022-04-01 23:08:39
3,<a href=https://cryptocompare.com/coins/usdt/overview>USDT</a>,<a href=https://cryptocompare.com/coins/usdt/overview>Tether</a>,1.0,<p class=green>+0.0</p>,<p class=green>+0.0</p>,"837,736,865.0","81,978,743,040.0","81,978,743,040.0",2022-04-01 23:08:47
4,<a href=https://cryptocompare.com/coins/luna/overview>LUNA</a>,<a href=https://cryptocompare.com/coins/luna/overview>Terra</a>,105.57,<p class=red>-0.41</p>,<p class=green>+2.44</p>,"1,204,548,083.0","79,280,497,861.0","750,975,635.0",2022-04-01 23:08:35
5,<a href=https://cryptocompare.com/coins/bnb/overview>BNB</a>,<a href=https://cryptocompare.com/coins/bnb/overview>Binance Coin</a>,444.65,<p class=red>-0.15</p>,<p class=green>+3.69</p>,"1,208,439,957.0","73,421,967,335.0","165,123,057.0",2022-04-01 23:08:43
6,<a href=https://cryptocompare.com/coins/sol/overview>SOL</a>,<a href=https://cryptocompare.com/coins/sol/overview>Solana</a>,136.08,<p class=red>-0.41</p>,<p class=green>+10.79</p>,"2,031,936,828.0","70,570,514,856.0","518,595,788.0",2022-04-01 23:08:51
7,<a href=https://cryptocompare.com/coins/avax/overview>AVAX</a>,<a href=https://cryptocompare.com/coins/avax/overview>Avalanche</a>,96.47,<p class=red>-0.52</p>,<p class=red>-0.94</p>,"920,993,455.0","38,663,939,758.0","400,787,185.0",2022-04-01 23:08:40
8,<a href=https://cryptocompare.com/coins/ada/overview>ADA</a>,<a href=https://cryptocompare.com/coins/ada/overview>Cardano</a>,1.17,<p class=red>-0.43</p>,<p class=green>+2.19</p>,"821,556,950.0","38,657,024,239.0","33,125,127,883.0",2022-04-01 23:08:48
9,<a href=https://cryptocompare.com/coins/dot/overview>DOT</a>,<a href=https://cryptocompare.com/coins/dot/overview>Polkadot</a>,21.91,<p class=red>-0.32</p>,<p class=green>+2.67</p>,"533,163,746.0","25,844,479,408.0","1,179,574,596.0",2022-04-01 23:08:32
10,<a href=https://cryptocompare.com/coins/doge/overview>DOGE</a>,<a href=https://cryptocompare.com/coins/doge/overview>Dogecoin</a>,0.14,<p class=red>-0.28</p>,<p class=green>+2.46</p>,"453,875,510.0","18,938,322,698.0","133,839,736,383.0",2022-04-01 23:08:42
11,<a href=https://cryptocompare.com/coins/axs/overview>AXS</a>,<a href=https://cryptocompare.com/coins/axs/overview>Axie Infinity Shards</a>,66.55,<p class=green>+0.76</p>,<p class=green>+4.8</p>,"274,166,536.0","17,968,500,000.0","270,000,000.0",2022-04-01 23:08:44
12,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,1.0,<p class=green>+0.0</p>,<p class=green>+0.0</p>,"1,023,936,344.0","17,747,431,589.0","17,747,431,589.0",2022-04-01 23:08:06
13,<a href=https://cryptocompare.com/coins/link/overview>LINK</a>,<a href=https://cryptocompare.com/coins/link/overview>Chainlink</a>,17.19,<p class=red>-0.29</p>,<p class=green>+1.54</p>,"330,150,645.0","17,190,000,000.0","1,000,000,000.0",2022-04-01 23:08:43
14,<a href=https://cryptocompare.com/coins/matic/overview>MATIC</a>,<a href=https://cryptocompare.com/coins/matic/overview>Polygon</a>,1.69,<p class=red>-0.47</p>,<p class=green>+4.38</p>,"373,993,644.0","16,900,000,000.0","10,000,000,000.0",2022-04-01 23:08:46
15,<a href=https://cryptocompare.com/coins/ust/overview>UST</a>,<a href=https://cryptocompare.com/coins/ust/overview>TerraUSD</a>,1.0,<p class=red>-0.1</p>,<p class=green>+0.0</p>,"213,957,875.0","16,445,123,272.0","16,445,123,272.0",2022-04-01 23:08:48
16,<a href=https://cryptocompare.com/coins/ftt/overview>FTT</a>,<a href=https://cryptocompare.com/coins/ftt/overview>FTX Token</a>,50.51,<p class=red>-0.08</p>,<p class=green>+3.42</p>,"88,596,937.0","16,014,801,993.0","317,062,007.0",2022-04-01 23:08:16
17,<a href=https://cryptocompare.com/coins/shib/overview>SHIB</a>,<a href=https://cryptocompare.com/coins/shib/overview>Shiba Inu</a>,0.0,<p class=red>-0.5</p>,<p class=green>+0.93</p>,"517,723,640.0","15,380,232,069.0","589,732,824,762,519.0",2022-04-01 23:08:42
18,<a href=https://cryptocompare.com/coins/cro/overview>CRO</a>,<a href=https://cryptocompare.com/coins/cro/overview>Cronos</a>,0.48,<p class=red>-0.23</p>,<p class=green>+4.45</p>,"54,070,366.0","14,562,562,188.0","30,263,013,692.0",2022-04-01 23:08:49
20,<a href=https://cryptocompare.com/coins/ape/overview>APE</a>,<a href=https://cryptocompare.com/coins/ape/overview>ApeCoin</a>,12.73,<p class=red>-0.62</p>,<p class=green>+0.24</p>,"64,690,366.0","12,730,000,000.0","1,000,000,000.0",2022-04-01 23:08:40
21,<a href=https://cryptocompare.com/coins/wbtc/overview>WBTC</a>,<a href=https://cryptocompare.com/coins/wbtc/overview>Wrapped Bitcoin</a>,"46,232.78",<p class=red>-0.33</p>,<p class=green>+1.47</p>,"45,130,419.0","12,724,645,095.0","275,229.0",2022-04-01 23:08:45
22,<a href=https://cryptocompare.com/coins/klay/overview>KLAY</a>,<a href=https://cryptocompare.com/coins/klay/overview>Klaytn</a>,1.18,<p class=red>-0.15</p>,<p class=green>+1.29</p>,"45,298,447.0","12,746,246,708.0","10,834,897,446.0",2022-04-01 23:08:45
23,<a href=https://cryptocompare.com/coins/uni/overview>UNI</a>,<a href=https://cryptocompare.com/coins/uni/overview>Uniswap Protocol Token</a>,11.58,<p class=red>-0.6</p>,<p class=green>+2.57</p>,"158,059,197.0","11,580,000,000.0","1,000,000,000.0",2022-04-01 23:08:45
24,<a href=https://cryptocompare.com/coins/xlm/overview>XLM</a>,<a href=https://cryptocompare.com/coins/xlm/overview>Stellar</a>,0.23,<p class=green>+0.3</p>,<p class=green>+1.62</p>,"179,078,133.0","11,605,414,990.0","50,001,787,982.0",2022-04-01 23:08:41
25,<a href=https://cryptocompare.com/coins/sand/overview>SAND</a>,<a href=https://cryptocompare.com/coins/sand/overview>The Sandbox</a>,3.51,<p class=red>-0.28</p>,<p class=green>+3.69</p>,"289,763,034.0","10,542,000,000.0","3,000,000,000.0",2022-04-01 23:08:34
26,<a href=https://cryptocompare.com/coins/icp/overview>ICP</a>,<a href=https://cryptocompare.com/coins/icp/overview>Internet Computer</a>,21.54,<p class=red>-0.87</p>,<p class=green>+2.57</p>,"120,345,997.0","10,323,837,593.0","479,286,796.0",2022-04-01 23:08:48
